State,Year,Sex,Spec_Nd,Age_Bin,Race,Adopted,Numbers
Alabama,2010,boy,specNo,over9,other,notAdopted,12

Alabama,2010,boy,specNo,over9,other,adopted,5

Alabama,2010,boy,specYes,under9,white,notAdopted,3

Alabama,2010,boy,specYes,under9,white,adopted,0

Alabama,2010,boy,specYes,under9,black,notAdopted,7

Alabama,2010,boy,specYes,under9,black,adopted,0

Alabama,2010,boy,specYes,under9,hispanic,notAdopted,1

Alabama,2010,boy,specYes,under9,hispanic,adopted,0

Alabama,2010,boy,specYes,under9,other,notAdopted,1

Alabama,2010,boy,specYes,under9,other,adopted,0

Alabama,2010,boy,specYes,over9,white,notAdopted,7

Alabama,2010,boy,specYes,over9,white,adopted,0

Alabama,2010,boy,specYes,over9,black,notAdopted,2

Alabama,2010,boy,specYes,over9,black,adopted,0

Alabama,2010,boy,specYes,over9,hispanic,notAdopted,2

Alabama,2010,boy,specYes,over9,hispanic,adopted,0

Alabama,2010,boy,specYes,over9,other,notAdopted,0

Alabama,2010,boy,specYes,over9,other,adopted,0

Alabama,2010,girl,specNo,under9,white,notAdopted,129

Alabama,2010,girl,specNo,under9,white,adopted,60

Alabama,2010,girl,specNo,under9,black,notAdopted,87

Alabama,2010,girl,specNo,under9,black,adopted,40

Alabama,2010,girl,specNo,under9,hispanic,notAdopted,17

Alabama,2010,girl,specNo,under9,hispanic,adopted,12

Alabama,2010,girl,specNo,under9,other,notAdopted,14

Alabama,2010,girl,specNo,under9,other,adopted,14

Alabama,2010,girl,specNo,over9,white,notAdopted,172

Alabama,2010,girl,specNo,over9,white,adopted,79

Alabama,2010,girl,specNo,over9,black,notAdopted,100

Alabama,2010,girl,specNo,over9,black,adopted,35

Alabama,2010,girl,specNo,over9,hispanic,notAdopted,9

Alabama,2010,girl,specNo,over9,hispanic,adopted,14

Alabama,2010,girl,specNo,over9,other,notAdopted,11

Alabama,2010,girl,specNo,over9,other,adopted,13

Alabama,2010,girl,specYes,under9,white,notAdopted,2

